Event,SiteID,DOC,PO4-P,TN,DIN-N,Fluoride,Chloride,Bromide,Sulfate,Lithium,Sodium,Potassium,Region,Reach,SiteType,Lat,Long,Area_SS,Watershed,Category,Mar 50%,Jul 50%,Fall 50%,Forest,%DEV,%IMP,%Herb
Fall,103,4.4,0.045246876,0.115333333,0.0022008,65.1777,9469.8591,3.8142,3720.3993,56.5566,15109.7946,819.2763,Utah Valley,2,Tributary,40.352421,-111.901945,62.6,Other,Lake Tributary,12.6,5.16,3.74,43.8,3.56,1.33,9.04
Fall,107,5.84,0.02933078,1.774444444,0.9541168,33.7896,11142.1626,4.782466667,3717.084233,30.9354,11852.1971,852.78885,Utah Valley,2,Utah Lake,40.36095174,-111.8985136,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,108,,0.0378326,,,,,,,,,,Utah Valley,1,Utah Lake,40.328128,-111.896299,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,109,0.96,0.005793337,0.403333333,0.7635138,6.6793,235.256,0.1493,183.2041,0.1469,608.5591,36.7315,Utah Valley,2,Tributary,40.36504,-111.88393,42.7,Other,Lake Tributary,12.6,6.31,4.06,40.5,20.4,6.94,7.69
Fall,111,6.72,0.0391354,0.848666667,,,,,,,,,Utah Valley,1,Utah Lake,40.290956,-111.870633,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,118,6.85,0.01655,1.52,,,,,,,,,Utah Valley,11,Utah Lake,40.10421,-111.85487,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,120,4.59,0.00611835,1.201,6.2583822,3.7597,1767.3152,0.5893,770.7741,1.6673,2251.8202,128.3173,American Fork,1,Tributary,40.40415659,-111.8507596,41.9,Other,Lake Tributary,12.5,6.56,4.17,41.3,19.5,6.5,7.76
Fall,122,3.83,0.006889675,2.380333333,2.3961714,6.3894,1514.2252,0.5757,918.9522,,2009.9596,114.1133,Utah Valley,3,Tributary,40.36855938,-111.8354937,6.75,Other,Lake Tributary,1.51,0.112,0.139,3.03,84.4,33.1,7.86
Fall,125,,0.1433594,,,,,,,,,,Utah Valley,3,Utah Lake,40.34089,-111.802335,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,126,2.93,0.014937567,0.338333333,0.1170624,6.1078,1007.7776,0.8441,1365.5428,0.7375,2010.4679,72.0619,Utah Valley,3,Mainstem,40.34328223,-111.802073,106,American Fork,Mountain Urban,29,19.7,11.3,55,21.5,9.68,3.57
Fall,127,2.68,0.06185,1.288666667,,,,,,,,,Utah Valley,10,Utah Lake,40.14325,-111.8003,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,135,,0.0410896,,,,,,,,,,Utah Valley,5,PointWWTP,40.336623,-111.7768,0,Other,Lake Tributary,0,0,0,0,100,50,0
Fall,139,1.21,0.20962,0.889666667,,,,,,,,,Benjamin Slough,2,Canal,40.07801088,-111.7743811,21.5,Benjamin Slough,Lake Tributary,5.61,4.7,3.6,37.4,14.9,5.55,5.3
Fall,141,2.68,0.89666,3.725333333,,,,,,,,,Benjamin Slough,2,Mainstem,40.08329127,-111.7702066,80.2,Benjamin Slough,Lake Tributary,11.1,18.8,11.3,47.2,10.6,3.73,3.94
Fall,144,4.87,0.098023995,2.590333333,2.7711544,25.7379,5426.4771,2.4718,2030.4247,,9015.8877,510.2866,Utah Valley,5,Utah Lake,40.327136,-111.766838,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,145,4.07,0.042845991,3.397666667,3.007697,9.7976,2249.0604,1.2127,1192.8097,,3637.2574,264.541,Utah Valley,5,Canal,40.332807,-111.759978,40.3,Other,Lake Tributary,8.88,2.16,1.79,35.4,47.1,21.7,3.68
Fall,146,1.01,0.14037,0.689666667,,,,,,,,,Benjamin Slough,5,Tributary,40.05579132,-111.7638237,19.9,Benjamin Slough,Lake Tributary,5.28,4.5,3.49,40.3,16,5.99,4.85
Fall,150,3.18,0.023731665,4.394,4.3014314,5.8436,2625.0278,0.862,879.9943,,3089.0109,351.0366,Utah Valley,5,Canal,40.33022,-111.75341,7.58,Other,Lake Tributary,1.73,0.218,0.234,18.1,73.7,33.2,7.56
Fall,154,4.09,0.019423052,0.621,0.5037074,9.27,1789.6907,0.5515,934.3801,,3830.4411,128.0841,Spanish Fork,1,Mainstem,40.167108,-111.748753,666,Spanish Fork,Ag unreg,0,0,0,51.8,4.22,1.43,6.19
Fall,155,3.1,0.005221597,0.205666667,0.0728868,6.071,234.941,0.0576,1293.1311,0.1499,425.9586,23.2442,American Fork,2,Mainstem,40.43299,-111.74776,60.1,American Fork,Mountain Urban,22.6,45.4,19.2,72.3,0.78,0.0457,3.32
Fall,159,6.11,0.008392406,0.051333333,0.1560916,4.0524,223.9106,0.1661,268.8861,,425.4667,36.3401,Benjamin Slough,6,Tributary,40.003955,-111.74685,2.53,Benjamin Slough,Lake Tributary,1.31,0.957,0.888,60.7,4.59,0.9,1.57
Fall,161,,,,,,,,,,,,Benjamin Slough,6,Pond,40.005455,-111.745994,2.51,Benjamin Slough,Lake Tributary,1.3,0.951,0.883,61.2,4.39,0.88,1.53
Fall,163,3.01,0.010285574,0.5425,0.5537448,9.159,1071.0447,1.0107,972.59385,,1545.0089,332.82855,Utah Valley,7,Tributary,40.277054,-111.744583,1.7,Other,Lake Tributary,0.4,0.0412,0.0507,4.17,94.5,52.8,6.02
Fall,167,1.42,0.011276447,0.994333333,0.5150012,10.3749,923.7228,1.0524,1015.484,,1573.8276,346.9147,Utah Valley,7,Pond,40.27995129,-111.7435436,1.19,Other,Lake Tributary,0.293,0.0358,0.0427,2.86,96.2,56.8,5.58
Fall,173,7.63,0.03704239,0.973666667,0.0335384,30.615,9033.4673,3.6489,2872.7711,20.8256,15157.9814,734.5384,Utah Valley,7,Tributary,40.26550561,-111.7399277,25.7,Other,Lake Tributary,4.84,0.451,0.505,10.2,68.1,36.8,4.06
Fall,178,10.03,0.055841165,0.070666667,0.0024556,18.3761,5594.3193,2.4793,3006.8942,11.7145,10949.831,498.7361,Utah Valley,8,Utah Lake,40.179813,-111.734697,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,179,1.86,0.012284487,0.500333333,0.25284,4.9647,543.5476,0.2072,406.0764,,834.9043,68.9941,Lower Provo,1,Mainstem,40.23690002,-111.7315989,686,Provo River,Mixed dammed,0,0,0,64.8,5.53,1.07,3.5
Fall,180,2.33,0.26427108,3.028,2.2724884,9.1188,2318.7963,0.7532,697.8292,3.6204,4902.7832,399.5794,Benjamin Slough,3,Mainstem,40.08229,-111.73138,44.8,Benjamin Slough,Lake Tributary,8.72,11.4,7.42,37.1,11.8,4.22,6.06
Fall,181,7.1,0.001585664,0.183,0.5429298,14.0066,1724.2937,0.5741,884.5582,133810.2565,461.8664,110.3803,Spanish Fork,1,Mainstem,40.1502589,-111.7269818,666,Spanish Fork,Ag unreg,39.1,80.1,48.7,55.9,1.87,0.047,5.52
Fall,183,1.21,0.017553376,0.699666667,0.499597,11.7747,1773.59,0.5318,932.0559,,3808.476,139.865,Spanish Fork,2,Mainstem,40.14078906,-111.714097,666,Spanish Fork,Ag unreg,39.1,80.1,48.7,56,1.87,0.47,5.52
Fall,186,9.41,0.004840611,0.994666667,0.262871,24.1416,5216.2743,2.5052,2848.7267,,1253.0929,330.1027,Utah Valley,8,Utah Lake,40.184382,-111.711316,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Fall,190,,,,,,,,,,,,Benjamin Slough,3,Mainstem,40.0649552,-111.7068669,39.6,Benjamin Slough,Lake Tributary,8.03,11.1,7.14,41,10.5,3.7,5.67
Fall,193,6.54,,0.088666667,0.1745632,12.5892,310.781,0.1971,172.5823,11022.5288,72.4434,82.1691,Benjamin Slough,7,Tributary,39.986824,-111.698277,24.8,Benjamin Slough,Lake Tributary,3.64,10.3,5.49,80.7,2.43,0.0429,0.44
Fall,194,1.96,0.02992,0.693166667,0.4265324,8.7203,1308.9986,0.4453,556.0699,,311.716,70.0316,Spanish Fork,2,Mainstem,40.11467302,-111.6974304,661,Spanish Fork,Ag unreg,38.9,79.7,48.5,56.3,1.69,0.39,5.47
Fall,198,2.14,0.004326509,0.417333333,0.2289994,4.0793,484.0947,0.1577,348.1516,17369.5603,87.9585,45.3778,Lower Provo,2,Mainstem,40.23805692,-111.6944392,684,Provo River,Mixed dammed,117,202,41.4,65,5.34,0.98,3.5
Fall,201,,,,,,,,,,,,Benjamin Slough,7,Tributary,39.971952,-111.692663,20.9,Benjamin Slough,Lake Tributary,3.4,9.45,4.91,82.9,2.66,0.0485,0.51
Fall,206,8.78,0.008690182,2.632333333,1.9792416,18.9726,3935.7476,1.1696,1135.991,,1049.1438,625.1757,Benjamin Slough,4,Mainstem,40.07078597,-111.6840945,11.2,Benjamin Slough,Lake Tributary,4.15,3.3,2.78,35.7,6.51,2.09,7.26
Fall,207,,,,,,,,,,,,Benjamin Slough,4,Mainstem,40.05523133,-111.6832589,7.38,Benjamin Slough,Lake Tributary,2.92,3.85,2.52,57.7,11.1,3.74,0.13
Fall,209,1.98,,0.18,0.3228554,7.739,1140.128,0.3426,456.4524,41553.2828,256.7847,60.9884,Spanish Fork,3,Mainstem,40.102703,-111.680614,660,Spanish Fork,Ag unreg,38.8,80.3,48.4,56.4,1.67,0.38,5.46
Fall,210,2.82,0.153227172,0.501333333,0.1562316,4.662,475.6846,0.1412,373.683,,81.6633,30.2898,Lower Provo,3,Mainstem,40.24555,-111.67359,683,Provo River,Mixed dammed,0,0,0,65.1,5.19,0.91,3.5
Fall,214,2.7,0.002127639,0.911666667,0.7354788,5.21625,1209.44755,0.4202,595.56675,,287.0484,70.8697,Spanish Fork,3,Mainstem,40.09977,-111.66955,659,Spanish Fork,Ag unreg,38.8,80.2,48.4,56.5,1.51,0.31,5.45
Fall,215,2.28,0.001344098,0.055,0.1349642,5.1771,452.0225,0.1611,367.1574,,85.1485,38.7218,Lower Provo,5,Mainstem,40.25245641,-111.667977,682,Provo River,Mixed dammed,0,0,0,65.2,5.09,0.85,3.5
Fall,217,4.76,0.028185797,9.011666667,5.5288618,19.6473,3848.3106,1.2,1075.9404,,996.1033,311.6358,Utah Valley,9,Tributary,40.158528,-111.663806,20.9,Other,Lake Tributary,6.25,5.64,5.79,31.7,30.6,13.1,9.66
Fall,219,1.02,0.021360009,0.104666667,0.0214788,13.415,75.3763,0.029,1216.724,,20.0607,12.1573,American Fork,4,Mainstem,40.45606232,-111.6618633,39.4,American Fork,Mountain Urban,17.3,43.8,17.3,71.3,0.2,0.00521,3.9
Fall,220,0.86,0.002697487,0.007,0.0237874,8.6284,36.2069,,790.7699,3159.6066,11.7313,7.5678,American Fork,4,Tributary,40.45341617,-111.6612671,8.79,American Fork,Mountain Urban,3.82,15.1,5.91,70.1,2.35,0.071,2.07
Fall,221,2.58,0.002418757,0.574666667,1.5842708,9.1029,1961.1543,0.4799,372.7276,27948.9124,323.0686,105.9226,Lower Provo,4,Canal,40.22217295,-111.6590879,18,Other,Lake Tributary,0,0,0,0,100,50,0
Fall,222,2.67,0.000879548,0.056,0.1478204,5.3109,473.6289,0.1655,348.7408,,77.6238,36.0561,Lower Provo,6,Mainstem,40.30689676,-111.6574277,662,Provo River,Mixed dammed,0,0,0,65.6,4.3,0.48,3.48
Fall,223,9.48,0.022628231,2.346,6.1735436,18.0131,4173.11305,1.00355,1088.36045,173747.6485,1026.0084,318.62015,Utah Valley,9,Tributary,40.148444,-111.657083,18.2,Other,Lake Tributary,5.81,5.67,5.65,35.8,29,12.1,9.87
Fall,225,2.12,0.002728457,0.304666667,0.1468936,5.1681,404.7645,0.1256,355.7592,21650.9613,77.9665,34.2523,Lower Provo,6,Mainstem,40.31273049,-111.6565899,662,Provo River,Mixed dammed,0,0,0,65.6,4.29,0.48,3.48
Fall,226,5.94,0.35783822,8.250666667,9.8886046,21.5095,3376.80845,0.7951,1455.25845,138910.5669,784.45465,287.0083,Lower Provo,4,Canal,40.201872,-111.654783,18,Other,Lake Tributary,0,0,0,47.1,40.6,23,0
Fall,227,2.05,0.001198539,0.143666667,0.0113162,4.387,48.2486,0.0355,64.4607,,10.6404,11.1681,American Fork,7,Tributary,40.50689705,-111.6560365,4.02,American Fork,Mountain Urban,4.25,25.5,7.6,38.3,0.23,0,9.62
Fall,229,5.03,0.001700253,0.825666667,3.9325664,16.6954,4474.9283,1.2637,590.4898,102741.5497,617.8698,223.6261,Lower Provo,4,Canal,40.21654,-111.65501,18,Other,Lake Tributary,0,0,0,47.1,40.6,23,0
Fall,230,3.8,0.020787722,0.342,0.251454,12.5413,1277.0884,0.3869,650.4963,3.1469,2670.754,107.5818,Spanish Fork,3,Mainstem,40.09495604,-111.6549262,658,Spanish Fork,Ag unreg,38.7,80.1,48.3,56.6,1.4,0.27,5.45
Fall,232,2.33,0.001133502,0.044,0.031661,3.1737,39.2721,0.0792,44.3412,1138.9986,11.3717,8.4292,American Fork,7,Tributary,40.50081005,-111.6539119,4.26,American Fork,Mountain Urban,4.3,24.1,7.37,38.8,1.06,0,9.07
Fall,238,5.45,0.595808086,1.040333333,10.39580593,13.85303333,3286.883767,0.599466667,612.3831333,,541.0891,200.5177333,Lower Provo,4,Canal,40.20908487,-111.6522514,18,Other,Lake Tributary,0,0,0,47.1,40.6,23,0
Fall,240,1.9,0.001282158,0.024666667,0.076867,9.0888,39.9113,,57.5599,,12.7862,9.2876,American Fork,6,Tributary,40.483776,-111.648814,1.86,American Fork,Mountain Urban,0.824,7.7,2.68,65.1,0,0,3.86
Fall,241,4.22,1.779799445,20.597,23.8396606,14.5399,3043.1826,0.1031,581.9457,,579.7031,261.712,Lower Provo,4,Canal,40.20801,-111.648793,18,Other,Lake Tributary,0,0,0,47.1,40.6,23,0
